Lagen, NN, 
., MAD, 
Magnus, PM, 
Molin, PM, 
och, KN, 
Fredrik, PM, 
Håkansson, PM, 
spelade, VB, 
också, AB, 
för, PP, 
Sverige, PM, 
i, PP, 
finalen, NN, 
., MAD, 
Polisen, NN, 
undersöker, VB, 
hur, HA, 
de, PN, 
kunde, VB, 
få, VB, 
tag, NN, 
på, PP, 
vapen, NN, 
när, HA, 
de, PN, 
var, VB, 
inne, AB, 
på, PP, 
fängelset, NN, 
., MAD, 
Efter, PP, 
kriget, NN, 
mot, PP, 
Irak, PM, 
är, VB, 
USA, PM, 
mindre, AB, 
populärt, JJ, 
än, KN, 
på, PP, 
länge, AB, 
., MAD, 
Hur, HA, 
kan, VB, 
företagets, NN, 
styrelse, NN, 
tillåta, VB, 
att, SN, 
de, PN, 
slösar, VB, 
bort, PL, 
fackets, NN, 
pengar, NN, 
på, PP, 
det, DT, 
sättet, NN, 
,, MID, 
undrar, VB, 
många, PN, 
., MAD, 
Skatten, NN, 
på, PP, 
bensin, NN, 
höjs, VB, 
med, PP, 
25, RG, 
öre, NN, 
., MAD, 
Vänsterpartiet, NN, 
riskerar, VB, 
att, IE, 
åka, VB, 
ur, PP, 
riksdagen, NN, 
efter, PP, 
valet, NN, 
nästa, JJ, 
år, NN, 
., MAD, 
Planen, NN, 
säger, VB, 
att, SN, 
Israels, PM, 
soldater, NN, 
måste, VB, 
lämna, VB, 
alla, DT, 
palestinska, JJ, 
områden, NN, 
., MAD, 
Efter, PP, 
olyckan, NN, 
blev, VB, 
den, DT, 
polska, JJ, 
kaptenen, NN, 
anklagad, PC, 
för, PP, 
att, SN, 
han, PN, 
inte, AB, 
hade, VB, 
följt, VB, 
de, DT, 
trafikregler, NN, 
som, HP, 
gäller, VB, 
på, PP, 
havet, NN, 
., MAD, 
Det, PN, 
var, VB, 
trettio, RG, 
personer, NN, 
ombord, AB, 
., MAD, 
Djindjic, PM, 
ville, VB, 
att, SN, 
Serbien, PM, 
skulle, VB, 
bli, VB, 
mer, AB, 
likt, AB, 
länderna, NN, 
i, PP, 
västra, JJ, 
Europa, PM, 
., MAD, 
Folken, NN, 
i, PP, 
området, NN, 
Darfur, PM, 
har, VB, 
länge, AB, 
känt, VB, 
sig, PN, 
dåligt, AB, 
behandlade, PC, 
., MAD, 
Världsmästerskapet, NN, 
i, PP, 
orientering, NN, 
började, VB, 
mycket, AB, 
bra, AB, 
för, PP, 
Sverige, PM, 
., MAD, 
Vi, PN, 
har, VB, 
lyssnat, VB, 
på, PP, 
vad, HP, 
folk, NN, 
har, VB, 
sagt, VB, 
om, PP, 
chefernas, NN, 
höga, JJ, 
löner, NN, 
., MAD, 
I, PP, 
stället, NN, 
lade, VB, 
han, PN, 
dem, PN, 
i, PP, 
sin, PS, 
källare, NN, 
., MAD, 
Men, KN, 
nu, AB, 
har, VB, 
det, PN, 
hänt, VB, 
igen, PL, 
., MAD, 
Det, PN, 
skulle, VB, 
kunna, VB, 
komma, VB, 
fram, PL, 
senare, AB, 
i, PP, 
utredningen, NN, 
., MAD, 
Då, AB, 
hade, VB, 
han, PN, 
huggit, VB, 
sin, PS, 
pappa, NN, 
med, PP, 
en, DT, 
kökskniv, NN, 
., MAD, 
Företaget, NN, 
Vattenfall, PM, 
har, VB, 
haft, VB, 
reparatörer, NN, 
ute, AB, 
i, PP, 
skogarna, NN, 
dygnet, NN, 
runt, AB, 
., MAD, 
Hon, PN, 
måste, VB, 
dessutom, AB, 
betala, VB, 
böter, NN, 
., MAD, 
Många, PN, 
tycker, VB, 
att, SN, 
han, PN, 
har, VB, 
fuskat, VB, 
och, KN, 
fifflat, VB, 
med, PP, 
pengar, NN, 
., MAD, 
Waterloo, PM, 
vann, VB, 
röstningen, NN, 
i, PP, 
TV, NN, 
i, PP, 
lördags, NN, 
., MAD, 
–, MID, 
De, DT, 
här, AB, 
forskarna, NN, 
är, VB, 
bäst, JJ, 
i, PP, 
världen, NN, 
på, PP, 
bröstcancer, NN, 
., MAD, 
I, PP, 
många, JJ, 
ishockey-hallar, NN, 
är, VB, 
det, PN, 
lätt, JJ, 
för, PP, 
någon, PN, 
i, PP, 
publiken, NN, 
att, IE, 
komma, VB, 
fram, PL, 
till, PP, 
en, DT, 
domare, NN, 
eller, KN, 
att, IE, 
kasta, VB, 
saker, NN, 
på, PP, 
domaren, NN, 
., MAD, 
Minst, AB, 
tolv, RG, 
palestinier, NN, 
har, VB, 
dödats, VB, 
av, PP, 
israeliska, JJ, 
soldater, NN, 
i, PP, 
staden, NN, 
Rafah, PM, 
i, PP, 
Gaza-området, NN, 
., MAD, 
Minst, AB, 
fem, RG, 
personer, NN, 
dödades, VB, 
av, PP, 
bomben, NN, 
., MAD, 
Minst, AB, 
sexhundra, RG, 
människor, NN, 
dödades, VB, 
i, PP, 
stormen, NN, 
på, PP, 
Haiti, PM, 
., MAD, 
Få, PN, 
tror, VB, 
att, SN, 
det, PN, 
kommer, VB, 
att, IE, 
lyckas, VB, 
., MAD, 
Det, PN, 
tar, VB, 
lång, JJ, 
tid, NN, 
för, PP, 
allt, DT, 
vatten, NN, 
att, IE, 
sjunka, VB, 
undan, PL, 
., MAD, 
Soldater, NN, 
från, PP, 
Israel, PM, 
har, VB, 
tagit, VB, 
sig, PN, 
in, PL, 
i, PP, 
palestinska, JJ, 
städer, NN, 
., MAD, 
Ännu, AB, 
vet, VB, 
ingen, PN, 
säkert, AB, 
varför, HA, 
olyckan, NN, 
hände, VB, 
., MAD, 
Storbritanniens, PM, 
premiärminister, NN, 
Tony, PM, 
Blair, PM, 
vill, VB, 
i, PP, 
så, AB, 
fall, NN, 
Frankrike, PM, 
tar, VB, 
emot, PL, 
mindre, JJ, 
pengar, NN, 
till, PP, 
sitt, PS, 
jordbruk, NN, 
., MAD, 
I, PP, 
gruppens, NN, 
rapport, NN, 
finns, VB, 
en, DT, 
lista, NN, 
över, PP, 
alla, DT, 
chanser, NN, 
polisen, NN, 
och, KN, 
andra, PN, 
haft, VB, 
att, IE, 
stoppa, VB, 
terroristerna, NN, 
., MAD, 
Han, PN, 
har, VB, 
sagt, VB, 
att, SN, 
en, DT, 
mäktig, JJ, 
kvinna, NN, 
i, PP, 
församlingen, NN, 
har, VB, 
styrt, VB, 
honom, PN, 
., MAD, 
Det, PN, 
hände, VB, 
i, PP, 
torsdags, NN, 
i, PP, 
S:t, PM, 
Moritz, PM, 
i, PP, 
Schweiz, PM, 
